mark_id,student_id,subject_id,date,mark
96,7,10,2017-07-19,8.50
97,7,11,2018-06-10,9.00
98,7,12,2018-07-20,8.75
99,7,13,2019-06-12,9.50
100,7,14,2019-07-15,8.25
101,7,15,2020-06-14,9.75
102,8,1,2013-06-11,7.50
103,8,2,2013-07-21,6.25
104,8,3,2014-06-13,8.50
105,8,4,2014-07-16,7.00
106,8,5,2015-06-15,8.00
107,8,6,2015-07-19,7.50
108,8,7,2016-06-12,9.00
109,8,8,2016-07-23,8.25
110,8,9,2017-06-14,7.75
111,8,10,2017-07-20,8.50
112,8,11,2018-06-11,9.25
113,8,12,2018-07-21,8.50
114,8,13,2019-06-13,9.75
115,8,14,2019-07-16,8.00
116,8,15,2020-06-15,9.50
117,9,1,2014-06-10,8.75
118,9,2,2014-07-20,6.50
119,9,3,2015-06-12,9.00
120,9,4,2015-07-15,7.25
121,9,5,2016-06-14,8.50
122,9,6,2016-07-18,7.75
123,9,7,2017-06-11,9.25
124,9,8,2017-07-22,8.00
125,9,9,2018-06-13,7.50
126,9,10,2018-07-19,8.25
127,9,11,2019-06-10,9.00
128,9,12,2019-07-20,8.75
129,9,13,2020-06-12,9.50
130,9,14,2020-07-15,8.25
131,9,15,2021-06-14,9.75
132,10,1,2014-06-11,7.50
133,10,2,2014-07-21,6.25
134,10,3,2015-06-13,8.50
135,10,4,2015-07-16,7.00
136,10,5,2016-06-15,8.00
137,10,6,2016-07-19,7.50
138,10,7,2017-06-12,9.00
139,10,8,2017-07-23,8.25
140,10,9,2018-06-14,7.75
141,10,10,2018-07-20,8.50
142,10,11,2019-06-11,9.25
143,10,12,2019-07-21,8.50
144,10,13,2020-06-13,9.75
145,10,14,2020-07-16,8.00
146,10,15,2021-06-15,9.50
147,11,1,2015-06-10,8.00
148,11,2,2015-07-20,7.25
149,11,3,2016-06-12,8.50
150,11,4,2016-07-15,7.75
151,11,5,2017-06-14,9.00
152,11,6,2017-07-18,8.25
153,11,7,2018-06-11,7.50
154,11,8,2018-07-22,8.75
155,11,9,2019-06-13,9.25
156,11,10,2019-07-19,8.50
157,11,11,2020-06-10,9.00
158,11,12,2020-07-20,8.75
159,11,13,2021-06-12,9.50
160,11,14,2021-07-15,8.25
161,11,15,2022-06-14,9.75
162,12,1,2015-06-11,7.50
163,12,2,2015-07-21,6.25
164,12,3,2016-06-13,8.50
165,12,4,2016-07-16,7.00
166,12,5,2017-06-15,8.00
167,12,6,2017-07-19,7.50
168,12,7,2018-06-12,9.00
169,12,8,2018-07-23,8.25
170,12,9,2019-06-14,7.75
171,12,10,2019-07-20,8.50
172,12,11,2020-06-11,9.25
173,12,12,2020-07-21,8.50
174,12,13,2021-06-13,9.75
175,12,14,2021-07-16,8.00
176,12,15,2022-06-15,9.50
177,13,1,2016-06-10,8.75
178,13,2,2016-07-20,6.50
179,13,3,2017-06-12,9.00
180,13,4,2017-07-15,7.25
181,13,5,2018-06-14,8.50
182,13,6,2018-07-18,7.75
183,13,7,2019-06-11,9.25
184,13,8,2019-07-22,8.00
185,13,9,2020-06-13,7.50
186,13,10,2020-07-19,8.25
187,13,11,2021-06-10,9.00
188,13,12,2021-07-20,8.75
189,13,13,2022-06-12,9.50
190,13,14,2022-07-15,8.25
191,13,15,2023-06-14,9.75
192,14,1,2016-06-11,7.50
193,14,2,2016-07-21,6.25
194,14,3,2017-06-13,8.50
195,14,4,2017-07-16,7.00
196,14,5,2018-06-15,8.00
197,14,6,2018-07-19,7.50
198,14,7,2019-06-12,9.00
199,14,8,2019-07-23,8.25
200,14,9,2020-06-14,7.75
201,14,10,2020-07-20,8.50
202,14,11,2021-06-11,9.25
203,14,12,2021-07-21,8.50
204,14,13,2022-06-13,9.75
205,14,14,2022-07-16,8.00
206,14,15,2023-06-15,9.50
207,15,1,2017-06-10,8.00
208,15,2,2017-07-20,7.25
209,15,3,2018-06-12,8.50
210,15,4,2018-07-15,7.75
211,15,5,2019-06-14,9.00
212,15,6,2019-07-18,8.25
213,15,7,2020-06-11,7.50
214,15,8,2020-07-22,8.75
215,15,9,2021-06-13,9.25
216,15,10,2021-07-19,8.50
217,15,11,2022-06-10,9.00
218,15,12,2022-07-20,8.75
219,15,13,2023-06-12,9.50
220,15,14,2023-07-15,8.25
221,15,15,2024-06-14,9.75
222,16,1,2017-06-11,7.50
223,16,2,2017-07-21,6.25
224,16,3,2018-06-13,8.50
225,16,4,2018-07-16,7.00
226,16,5,2019-06-15,8.00
227,16,6,2019-07-19,7.50
228,16,7,2020-06-12,9.00
229,16,8,2020-07-23,8.25
230,16,9,2021-06-14,7.75
231,16,10,2021-07-20,8.50
232,16,11,2022-06-11,9.25
233,16,12,2022-07-21,8.50
234,16,13,2023-06-13,9.75
235,16,14,2023-07-16,8.00
236,16,15,2024-06-15,9.50
237,17,1,2018-06-10,4.75
238,17,2,2018-07-20,6.50
239,17,3,2019-06-12,7.00
240,17,4,2019-07-15,5.25
241,17,5,2020-06-14,8.50
242,17,6,2020-07-18,6.75
243,17,7,2021-06-11,9.25
244,17,8,2021-07-22,7.00
245,17,9,2022-06-13,4.50
246,17,10,2022-07-19,8.00
247,17,11,2023-06-10,9.00
248,17,12,2023-07-20,7.75
249,18,1,2018-06-11,5.50
250,18,2,2018-07-21,4.25
251,18,3,2019-06-13,7.50
252,18,4,2019-07-16,6.00
253,18,5,2020-06-15,8.25
254,18,6,2020-07-19,5.75
255,18,7,2021-06-12,9.00
256,18,8,2021-07-23,7.50
257,18,9,2022-06-14,6.75
258,18,10,2022-07-20,8.50
259,18,11,2023-06-11,9.25
260,18,12,2023-07-21,7.00
261,19,1,2019-06-10,4.00
262,19,2,2019-07-20,6.75
263,19,3,2020-06-12,7.25
264,19,4,2020-07-15,5.00
265,19,5,2021-06-14,8.00
266,19,6,2021-07-18,6.50
267,19,7,2022-06-11,9.50
268,19,8,2022-07-22,7.25
269,19,9,2023-06-13,4.75
270,19,10,2023-07-19,8.25
271,20,1,2019-06-11,5.25
272,20,2,2019-07-21,4.75
273,20,3,2020-06-13,7.75
274,20,4,2020-07-16,6.25
275,20,5,2021-06-15,8.50
276,20,6,2021-07-19,5.50
277,20,7,2022-06-12,9.25
278,20,8,2022-07-23,7.75
279,20,9,2023-06-14,6.50
280,20,10,2023-07-20,8.75
281,21,1,2020-06-10,6.75
282,21,2,2020-07-20,4.50
283,21,3,2021-06-12,7.25
284,21,4,2021-07-15,5.00
285,21,5,2022-06-14,8.00
286,21,6,2022-07-18,6.50
287,21,7,2023-06-11,9.00
288,21,8,2023-07-22,7.75
289,21,9,2024-06-13,5.50
290,21,10,2024-07-19,8.25
291,22,1,2020-06-11,5.50
292,22,2,2020-07-21,4.25
293,22,3,2021-06-13,7.50
294,22,4,2021-07-16,6.00
295,22,5,2022-06-15,8.25
296,22,6,2022-07-19,5.75
297,22,7,2023-06-12,9.00
298,22,8,2023-07-23,7.50
299,22,9,2024-06-14,6.75
300,22,10,2024-07-20,8.50
301,23,1,2021-06-10,4.00
302,23,2,2021-07-20,3.75
303,23,3,2022-06-12,6.50
304,23,4,2022-07-15,5.25
305,23,5,2023-06-14,7.25
306,23,6,2023-07-18,4.50
307,23,7,2024-06-11,8.75
308,23,8,2024-07-22,6.25
309,24,1,2021-06-11,3.50
310,24,2,2021-07-21,4.25
311,24,3,2022-06-13,6.75
312,24,4,2022-07-16,5.50
313,24,5,2023-06-15,7.50
314,24,6,2023-07-19,4.75
315,24,7,2024-06-12,8.25
316,24,8,2024-07-23,6.50
317,25,1,2022-06-10,4.25
318,25,2,2022-07-20,3.50
319,25,3,2023-06-12,6.75
320,25,4,2023-07-15,4.00
321,25,5,2024-06-14,7.50
322,25,6,2024-07-18,5.25
323,26,1,2022-06-11,3.75
324,26,2,2022-07-21,4.50
325,26,3,2023-06-13,6.25
326,26,4,2023-07-16,5.00
327,26,5,2024-06-15,7.00
328,26,6,2024-07-19,4.25
329,27,1,2023-06-10,4.00
330,27,2,2023-07-20,3.75
331,27,3,2024-06-12,6.50
332,27,4,2024-07-15,5.25
333,28,1,2023-06-11,3.50
334,28,2,2023-07-21,4.25
335,28,3,2024-06-13,6.75
336,28,4,2024-07-16,5.50
337,29,1,2024-06-10,4.25
338,29,2,2024-07-20,3.75
339,30,1,2024-06-12,4.00
340,30,2,2024-07-15,3.50
